Leitura:
toBeColl:,13666
Vetor de respostas:
RespShard,RespSat,SPosH,SPosV,LidaPor
0,25,25,44,25
1,24,24,44,30
2,4,4,41,17
3,4,4,44,17
4,46,6,46,55
5,46,1,46,55
6,2,2,46,21
7,25,25,46,25
8,23,23,46,33
9,44,1,44,79
10,3,3,46,29
11,24,24,46,30
12,21,21,48,24
13,48,16,48,52
14,48,2,48,52
15,5,5,46,16
16,44,2,44,79
17,8,8,48,32
18,9,9,48,40
19,48,4,48,52
20,48,1,48,52
21,48,19,48,52
22,3,3,48,29
23,48,5,48,52
24,48,25,48,52
25,48,6,48,52
26,44,3,44,79
27,22,22,48,15
28,17,17,48,31
29,7,7,48,20
30,21,21,47,24
31,8,8,45,32
32,48,29,48,52
33,52,26,52,5
34,48,24,48,52
35,13,13,46,34
36,9,9,42,40
37,10,10,47,36
38,41,3,41,48
39,43,4,43,72
40,48,20,48,52
41,9,9,46,40
42,14,14,42,41
43,12,12,47,27
44,41,5,41,48
45,11,11,41,28
46,55,29,55,18
47,18,18,48,26
48,0,30,48,-1
49,41,30,41,48
50,41,1,41,48
51,28,28,50,49
52,12,12,48,27
53,0,25,41,-1
54,27,27,43,22
55,14,14,46,41
56,23,23,41,33
57,17,17,45,31
58,42,29,42,44
59,42,17,42,44
60,0,30,51,-1
61,18,18,45,26
62,43,19,43,72
63,11,11,45,28
64,0,2,41,-1
65,46,22,46,55
66,47,1,47,38
67,15,15,43,43
68,0,24,52,-1
69,44,11,44,79
70,43,7,43,72
71,0,27,52,-1
72,42,12,42,44
73,48,27,48,52
74,46,4,46,55
75,13,13,41,34
76,44,9,44,79
77,8,8,42,32
78,43,21,43,72
79,26,26,56,35
80,26,26,41,35
81,0,19,41,-1
82,28,28,41,49
83,45,16,45,67
84,0,21,41,-1
85,0,27,54,-1
86,44,19,44,79
87,46,27,46,55
88,0,11,48,-1
89,28,28,49,49
90,47,2,47,38
91,44,27,44,79
92,47,27,47,38
93,46,29,46,55
94,0,30,47,-1
95,53,26,53,19
96,15,15,45,43
97,13,13,44,34
98,0,19,47,-1
99,0,20,42,-1
100,0,8,41,-1
101,0,7,47,-1
102,0,24,56,-1
103,45,9,45,67
104,28,28,54,49
105,45,27,45,67
106,44,29,44,79
107,43,9,43,72
108,26,26,42,35
109,46,19,46,55
110,46,18,46,55
111,0,25,54,-1
112,0,29,49,-1
113,0,30,53,-1
114,44,12,44,79
115,0,17,47,-1
116,43,24,43,72
117,0,21,42,-1
118,45,26,45,67
119,0,22,47,-1
120,0,18,41,-1
121,23,23,44,33
122,0,27,53,-1
123,45,29,45,67
124,14,14,44,41
125,0,5,47,-1
126,44,30,44,79
127,0,30,55,-1
128,0,7,41,-1
129,44,26,44,79
130,0,9,47,-1
131,45,30,45,67
132,0,28,48,-1
133,0,29,52,-1
134,43,11,43,72
135,0,24,54,-1
136,0,25,47,-1
137,10,10,46,36
138,0,30,52,-1
139,10,10,41,36
140,0,4,47,-1
141,45,10,45,67
142,0,30,46,-1
143,0,29,47,-1
144,0,3,42,-1
145,0,9,41,-1
146,0,13,42,-1
147,0,18,42,-1
148,0,14,45,-1
149,0,13,48,-1
150,0,2,42,-1
151,0,12,41,-1
152,0,23,48,-1
153,50,29,50,7
154,0,11,42,-1
155,43,3,43,72
156,0,25,42,-1
157,15,15,42,43
158,28,28,44,49
159,0,29,51,-1
160,0,30,43,-1
161,44,10,44,79
162,0,28,55,-1
163,44,21,44,79
164,0,24,53,-1
165,0,28,47,-1
166,0,12,43,-1
167,0,18,44,-1
168,0,7,45,-1
169,0,13,43,-1
170,0,17,41,-1
171,0,25,55,-1
172,0,25,52,-1
173,0,14,47,-1
174,0,28,43,-1
175,0,24,41,-1
176,0,27,42,-1
177,0,26,48,-1
178,0,28,45,-1
179,0,25,43,-1
180,0,3,47,-1
181,0,8,44,-1
182,0,19,42,-1
183,0,10,48,-1
184,0,10,42,-1
185,0,16,47,-1
186,0,20,46,-1
187,0,30,56,-1
188,0,30,54,-1
189,0,2,43,-1
190,0,12,46,-1
191,0,19,45,-1
192,56,29,56,2
193,0,10,43,-1
194,0,29,43,-1
195,0,14,48,-1
196,0,28,56,-1
197,0,12,45,-1
198,0,1,42,-1
199,0,24,55,-1
200,0,25,56,-1
201,0,7,44,-1
202,0,30,50,-1
203,0,27,41,-1
204,0,15,46,-1
205,0,8,47,-1
206,0,14,41,-1
207,0,29,41,-1
208,0,18,43,-1
209,0,25,53,-1
210,0,27,55,-1
211,0,17,44,-1
212,0,28,46,-1
213,0,13,47,-1
214,0,26,55,-1
215,0,16,43,-1
216,20,20,43,12
217,0,13,45,-1
218,0,14,43,-1
219,0,17,46,-1
220,0,23,47,-1
221,0,16,46,-1
222,0,7,46,-1
223,0,28,53,-1
224,0,26,54,-1
225,0,28,42,-1
226,0,7,42,-1
227,0,29,54,-1
228,31,31,56,13
229,0,20,47,-1
230,0,8,46,-1
231,0,15,48,-1
232,0,11,46,-1
233,0,16,42,-1
234,0,11,47,-1
235,0,20,45,-1
236,0,29,53,-1
237,0,17,43,-1
238,0,20,44,-1
239,21,21,46,24
240,0,1,43,-1
241,0,15,41,-1
242,0,6,47,-1
243,0,23,43,-1
244,0,28,51,-1
245,0,24,47,-1
246,0,26,46,-1
247,0,8,43,-1
248,0,15,47,-1
249,0,26,47,-1
250,0,23,42,-1
251,0,21,45,-1
252,0,30,49,-1
253,0,28,52,-1
254,0,16,41,-1
255,0,4,42,-1
256,0,20,41,-1
257,0,15,44,-1
258,0,24,42,-1
259,0,30,42,-1
260,0,27,56,-1
261,0,18,47,-1
262,0,16,44,-1
263,0,26,43,-1
Ida n.: 0
toBeColl:,5216
Volta n.: 0
toBeColl:,4919
Ida n.: 0
toBeColl:,4919
Vetor de respostas:
RespShard,RespSat,SPosH,SPosV,LidaPor
0,44,25,44,79
1,44,24,44,79
2,4,4,41,17
3,4,4,44,17
4,46,6,46,55
5,46,1,46,55
6,46,2,46,55
7,46,25,46,55
8,23,23,46,33
9,44,1,44,79
10,3,3,46,29
11,24,24,46,30
12,21,21,48,24
13,48,16,48,52
14,48,2,48,52
15,5,5,46,16
16,44,2,44,79
17,8,8,48,32
18,9,9,48,40
19,48,4,48,52
20,48,1,48,52
21,48,19,48,52
22,3,3,48,29
23,48,5,48,52
24,48,25,48,52
25,48,6,48,52
26,44,3,44,79
27,22,22,48,15
28,17,17,48,31
29,7,7,48,20
30,21,21,47,24
31,8,8,45,32
32,48,29,48,52
33,52,26,52,5
34,48,24,48,52
35,13,13,46,34
36,9,9,42,40
37,10,10,47,36
38,41,3,41,48
39,43,4,43,72
40,48,20,48,52
41,9,9,46,40
42,14,14,42,41
43,12,12,47,27
44,41,5,41,48
45,11,11,41,28
46,55,29,55,18
47,18,18,48,26
48,0,30,48,-1
49,41,30,41,48
50,41,1,41,48
51,28,28,50,49
52,12,12,48,27
53,25,25,41,25
54,27,27,43,22
55,14,14,46,41
56,23,23,41,33
57,17,17,45,31
58,42,29,42,44
59,42,17,42,44
60,0,30,51,-1
61,18,18,45,26
62,43,19,43,72
63,11,11,45,28
64,2,2,41,21
65,46,22,46,55
66,47,1,47,38
67,15,15,43,43
68,24,24,52,30
69,44,11,44,79
70,43,7,43,72
71,0,27,52,-1
72,42,12,42,44
73,48,27,48,52
74,46,4,46,55
75,13,13,41,34
76,44,9,44,79
77,8,8,42,32
78,43,21,43,72
79,26,26,56,35
80,26,26,41,35
81,0,19,41,-1
82,28,28,41,49
83,45,16,45,67
84,0,21,41,-1
85,0,27,54,-1
86,44,19,44,79
87,46,27,46,55
88,0,11,48,-1
89,28,28,49,49
90,47,2,47,38
91,44,27,44,79
92,47,27,47,38
93,46,29,46,55
94,0,30,47,-1
95,53,26,53,19
96,15,15,45,43
97,13,13,44,34
98,0,19,47,-1
99,0,20,42,-1
100,0,8,41,-1
101,0,7,47,-1
102,0,24,56,-1
103,45,9,45,67
104,28,28,54,49
105,45,27,45,67
106,44,29,44,79
107,43,9,43,72
108,26,26,42,35
109,46,19,46,55
110,46,18,46,55
111,25,25,54,25
112,0,29,49,-1
113,0,30,53,-1
114,44,12,44,79
115,0,17,47,-1
116,43,24,43,72
117,0,21,42,-1
118,45,26,45,67
119,0,22,47,-1
120,0,18,41,-1
121,23,23,44,33
122,0,27,53,-1
123,45,29,45,67
124,14,14,44,41
125,0,5,47,-1
126,44,30,44,79
127,0,30,55,-1
128,0,7,41,-1
129,44,26,44,79
130,0,9,47,-1
131,45,30,45,67
132,0,28,48,-1
133,0,29,52,-1
134,43,11,43,72
135,0,24,54,-1
136,0,25,47,-1
137,10,10,46,36
138,0,30,52,-1
139,10,10,41,36
140,0,4,47,-1
141,45,10,45,67
142,0,30,46,-1
143,0,29,47,-1
144,0,3,42,-1
145,0,9,41,-1
146,0,13,42,-1
147,0,18,42,-1
148,0,14,45,-1
149,0,13,48,-1
150,0,2,42,-1
151,0,12,41,-1
152,0,23,48,-1
153,50,29,50,7
154,0,11,42,-1
155,43,3,43,72
156,0,25,42,-1
157,15,15,42,43
158,28,28,44,49
159,0,29,51,-1
160,0,30,43,-1
161,44,10,44,79
162,0,28,55,-1
