SATELITES: 20
Num,PosVetor,Memoria Total
8,0,2693
9,1,3226
18,2,3370
17,3,3444
3,4,3647
16,5,3662
4,6,5086
19,7,5440
2,8,5616
15,9,5675
1,10,6053
14,11,6407
11,12,6629
7,13,7419
13,14,7491
10,15,7498
6,16,7624
12,17,7907
20,18,8344
5,19,10210

SHARDS: 42
ShardH,ShardV,Ganho,CustoH,CustoV,MelhorCustoMemoria
8,12,84,1380,169,0.497041
6,17,66,332,892,0.198795
5,13,69,1496,876,0.0787671
5,18,95,1593,1301,0.0730208
6,12,91,1417,1303,0.0698388
3,12,62,1379,889,0.0697413
5,17,89,1300,1579,0.0684615
5,12,96,1408,1576,0.0681818
1,13,93,1497,1476,0.0630081
7,17,90,1440,1515,0.0625
2,15,80,1371,1348,0.0593472
2,12,81,1497,1377,0.0588235
6,18,76,1539,1298,0.0585516
7,11,90,1584,1572,0.0572519
5,14,80,1514,1587,0.0528402
3,11,64,1552,1219,0.0525021
5,16,72,1374,1579,0.0524017
5,11,76,1536,1506,0.0504648
5,15,65,1584,1387,0.0468637
6,16,59,1438,1541,0.0410292
7,13,29,1310,743,0.039031
4,12,59,1550,1531,0.0385369
2,14,51,1360,1407,0.0375
1,15,45,1318,1412,0.0341426
7,16,41,1530,1397,0.0293486
7,15,39,1359,1360,0.0286976
4,11,36,1589,1410,0.0255319
6,14,33,1420,1297,0.0254433
6,13,36,1435,1496,0.0250871
3,13,21,1414,864,0.0243056
4,13,33,1542,1367,0.0241405
6,11,25,1051,1043,0.0239693
7,18,28,1393,1396,0.0201005
8,13,16,1618,833,0.0192077
6,15,25,1370,1442,0.0182482
1,11,19,1297,1063,0.0178739
1,12,25,1482,1613,0.0168691
2,11,16,1343,1423,0.0119136
2,13,16,1538,1372,0.0116618
1,14,11,1322,1466,0.00832073
4,14,9,1549,1441,0.00624566
7,12,6,1329,1430,0.00451467


FINAL
[TOTALREWARD]: 2197
[TOBECOLLECTED]: 0
[COLLECTED]: 2197


Shards
ShardH,ShardV,Ganho,CustoH,CustoV,LidaPor
8,12,84,1380,169,8
6,17,66,332,892,17
5,13,69,1496,876,13
5,18,95,1593,1301,18
6,12,91,1417,1303,6
3,12,62,1379,889,3
5,17,89,1300,1579,17
5,12,96,1408,1576,12
1,13,93,1497,1476,1
7,17,90,1440,1515,7
2,15,80,1371,1348,2
2,12,81,1497,1377,2
6,18,76,1539,1298,18
7,11,90,1584,1572,11
5,14,80,1514,1587,14
3,11,64,1552,1219,3
5,16,72,1374,1579,16
5,11,76,1536,1506,11
5,15,65,1584,1387,15
6,16,59,1438,1541,16
7,13,29,1310,743,7
4,12,59,1550,1531,4
2,14,51,1360,1407,2
1,15,45,1318,1412,15
7,16,41,1530,1397,7
7,15,39,1359,1360,15
4,11,36,1589,1410,4
6,14,33,1420,1297,14
6,13,36,1435,1496,13
3,13,21,1414,864,13
4,13,33,1542,1367,4
6,11,25,1051,1043,11
7,18,28,1393,1396,7
8,13,16,1618,833,13
6,15,25,1370,1442,15
1,11,19,1297,1063,1
1,12,25,1482,1613,1
2,11,16,1343,1423,2
2,13,16,1538,1372,13
1,14,11,1322,1466,1
4,14,9,1549,1441,14
7,12,6,1329,1430,7

MemoriaRestante
Num,PosVetor,MemRestante
8,0,1313
9,1,3226
18,2,771
17,3,973
3,4,716
16,5,542
4,6,405
19,7,5440
2,8,45
15,9,74
1,10,455
14,11,2082
11,12,2508
7,13,417
13,14,2050
10,15,7498
6,16,6207
12,17,6331
20,18,8344
5,19,10210

Objetivo2197

